Postcode,Sales per month,Turnover (sale),5yr Price Growth,Crime rate,Population,Population growth (10 year),Degree,Deprivation,Social rent,Acres of green space / 1000 residents,Households,Density,Average Income,State Schools
AL1,0.6068463299588999,4,20,104,36253,5,59,10,13,15.5,2.3899400092293495,9574,61500,0.5240945576917773
AL2,0.34314146006691254,4,15,81,23314,5,43,13,10,19.1,2.4905458818502297,1787,51800,0.3002487775585485
AL3,0.5362697079117658,8,7,83,27971,6,55,10,6,30.2,2.4905173181372984,1084,59000,0.5362697079117658
AL4,0.4778884681836562,8,24,55,27203,5,48,11,6,51.1,2.558115478653376,1508,56100,0.4778884681836562
AL5,0.45978521462116984,8,9,49,30449,5,58,8,4,29.9,2.612078579394355,4338,63200,0.5911524187986469
AL6,0.44726719742374094,5,19,43,11179,8,42,13,7,64.4,2.491419656786271,1130,58500,0.44726719742374094
AL7,0.5010315355142941,12,19,101,33930,8,36,17,30,12.1,2.3928067700987308,6878,46800,0.3831417624521073
AL8,0.44903457566232596,9,27,129,13362,8,45,13,16,63.0,2.366212148043209,4035,52300,0.6735518634934891
AL9,0.47001316036849033,4,7,94,10638,8,37,15,7,115.1,2.4573804573804576,695,48800,0.47001316036849033
AL10,0.28280542986425344,5,15,139,35360,8,35,18,27,9.4,2.8643175374645606,5197,43100,0.3676470588235294
B1,0.5874060150375939,1,9,489,8512,6,56,15,25,0.6,1.8886177057909919,22910,44600,0.2349624060150376
B2,3.0627871362940278,7,22,5706,653,6,42,17,26,5.1,1.3982869379014988,5069,51600,0.0
B3,1.7969451931716083,2,15,827,2226,6,52,17,22,2.8,1.5523012552301254,12632,50800,0.0
B4,0.922722029988466,7,21,733,4335,6,30,26,36,1.2,9.203821656050955,34857,24500,0.2306805074971165
B5,0.33325002082812627,2,8,511,12003,6,48,18,21,18.5,2.467722039473684,9016,40100,0.08331250520703157
B6,0.15947267701467147,9,36,216,18812,6,22,33,38,15.7,3.381628617652346,9273,30800,0.5847331490537955
B7,0.23397285914833882,29,72,237,8548,6,20,36,59,3.1,2.4848837209302324,6754,28000,1.2868507253158634
B8,0.1657550140891762,9,31,134,42231,6,19,35,25,6.2,3.5148564294631712,20166,31500,0.4262271790864531
B9,0.28095524784266507,22,39,167,24915,6,20,35,29,8.0,3.3546519456038775,14501,32900,0.32109171182018864
B10,0.11536686663590216,7,30,139,26004,6,20,36,26,6.2,3.6277901785714284,23348,31800,0.4230118443316413
B11,0.15768962177017865,8,24,130,44391,6,22,34,23,2.7,3.532908873855949,19394,34100,0.36043342118897975
B12,0.1460067163089502,2,29,190,20547,6,24,35,34,8.8,3.0260677466863033,20828,34800,0.5840268652358008
B13,0.5309687524889161,12,19,122,37667,6,41,22,16,18.0,2.4263720690543678,10743,40000,0.5309687524889161
